time_s,measured_x_m,predicted_x_m,measured_y_m,predicted_y_m,position_error_m,measured_yaw_rad,predicted_yaw_rad,yaw_error_rad,measured_yaw_rate_radps,predicted_yaw_rate_radps,yaw_rate_error_radps,measured_slip_angle_rad,predicted_slip_angle_rad,slip_angle_error_rad
14.15,1.774019246,1.7740192460593833,27.955736437,27.955736437781905,7.841578468188981e-10,1.521736192,1.521736192203603,2.0360291230758776e-10,-0.127956584,-0.12795658399357868,6.421335685402596e-12,-0.007362495,-0.00736249503679226,-3.679226021069404e-11
14.16,1.775144593,1.7751445937153758,27.975704749,27.975704749662114,9.74761340227644e-10,1.520600839,1.5206008387919052,-2.0809487466522114e-10,-0.117709018,-0.11770901846384552,-4.638455175509648e-10,-0.006684761,-0.006684760744954399,2.550456009581259e-10
14.17,1.776292783,1.7762927831696322,27.995671761,27.995671761395663,4.3049236057394014e-10,1.519409082,1.519409081795919,-2.0408119638659628e-10,-0.104258695,-0.10425869529873119,-2.9873119256063063e-10,-0.005961952,-0.005961952466884659,-4.668846585384467e-10
14.18,1.777439533,1.7774395329351915,28.015638855,28.015638855538047,5.419368893152523e-10,1.518456989,1.5184569892682784,2.6827873256252133e-10,-0.103827691,-0.10382769146028134,-4.6028134081943506e-10,-0.005740274,-0.0057402739576517155,4.2348284601256836e-11
14.19,1.778613664,1.7786136648350082,28.035604358,28.035604358257054,8.736788500204071e-10,1.517372817,1.5173728165330118,-4.669882258667712e-10,-0.096086726,-0.09608672633202067,-3.3202067484250364e-10,-0.005313296,-0.005313296074755487,-7.475548652324804e-11
14.2,1.779789516,1.7797895162609523,28.055569759,28.05556975966206,7.116305667938593e-10,1.516484236,1.5164842359866153,-1.3384848784880887e-11,-0.09898637,-0.09898637042751937,-4.275193671299249e-10,-0.005287189,-0.005287189134762064,-1.3476206348755904e-10
14.21,1.780994979,1.7809949793024238,28.075533395,28.075533395017718,3.029424021452729e-10,1.515437821,1.515437821037569,3.75690589748956e-11,-0.093195955,-0.09319595545939335,-4.5939335668876424e-10,-0.004991979,-0.004991979370523552,-3.7052355194439057e-10
14.22,1.782178407,1.7821784072745979,28.095498343,28.095498343753153,8.016513766708847e-10,1.514864321,1.514864320593528,-4.064721892405032e-10,-0.011598436,-0.011598435910489618,8.951038174553894e-11,-0.001579165,-0.001579164885468388,1.1453161205890461e-10
14.23,1.783299483,1.7832994837408864,28.115466891,28.11546689140099,8.424409333684112e-10,1.515054928,1.5150549277345924,-2.6540769582084067e-10,0.028310769,0.028310768537470707,-4.6252929264412046e-10,0.000330259,0.0003302589900336856,-9.966314394854042e-12
14.24,1.784394714,1.7843947140384426,28.135436876,28.13543687593954,7.164672767585013e-11,1.515417516,1.5154175157313965,-2.6860380586413157e-10,0.058964318,0.05896431834342977,3.434297707327616e-10,0.001834449,0.0018344488627191034,-1.3728089650298647e-10
14.25,1.7854434,1.7854434003505968,28.155409358,28.155409358588507,6.850245902975025e-10,1.516152355,1.5161523551148912,1.148912076587294e-10,0.069394931,0.06939493129595423,2.9595421946471134e-10,0.002560844,0.00256084366584171,-3.341582900141804e-10
14.26,1.786476722,1.7864767223504228,28.175382643,28.17538264310748,3.665353237564916e-10,1.516832279,1.5168322787171835,-2.82816436936173e-10,0.082964922,0.08296492170483521,-2.951647815052638e-10,0.003320041,0.003320041286112362,2.86112361667229e-10
14.27,1.787470576,1.7874705765688148,28.19535793,28.195357930197947,6.022732618454714e-10,1.517752848,1.517752848179553,1.7955326114815762e-10,0.083475663,0.08347566338143093,3.814309285088413e-10,0.003569029,0.003569028616267452,-3.8373254790738387e-10
14.28,1.788453936,1.7884539364796348,28.215333737,28.215333737199483,5.194634884608859e-10,1.518541997,1.5185419972105452,2.1054535892517379e-10,0.091270767,0.09127076702121177,2.1211768452822355e-11,0.004016557,0.004016556929535862,-7.046413799671747e-11
14.29,1.789401231,1.7894012317276629,28.235311286,28.23531128676365,1.0548234519325098e-09,1.51952719,1.5195271902256202,2.25620411242744e-10,0.088408541,0.08840854127619817,2.761981754417775e-10,0.004058161,0.004058161217995729,2.1799572910707887e-10
14.3,1.790340451,1.7903404512146581,28.255289218,28.255289217951567,2.2005443210049565e-10,1.520354864,1.5203548635709172,-4.290825472708093e-10,0.094225244,0.09422524375306444,-2.469355553369468e-10,0.004365077,0.004365076759206285,-2.407937148285466e-10
14.31,1.791245343,1.791245342982729,28.275268733,28.275268733273354,2.7389795178400067e-10,1.521363236,1.521363236263758,2.637579044062477e-10,0.090196355,0.09019635482293849,-1.7706151822505234e-10,0.004309618,0.0043096183532997726,3.5329977225023734e-10
14.32,1.792143424,1.79214342422062,28.295248556,28.295248556112064,2.4744967403557116e-10,1.522205014,1.5222050135486267,-4.5137316107002334e-10,0.095320425,0.09532042478231423,-2.176857721858383e-10,0.004548422,0.004548422371385726,3.7138572599182407e-10
14.33,1.792982728,1.7929827279611132,28.315230918,28.315230918212432,2.1596084535385666e-10,1.52351452,1.5235145198409281,-1.5907186678987273e-10,0.176522026,0.17652202578265444,-2.1734555821772972e-10,0.00792159,0.007921590475711584,4.757115847076054e-10
14.34,1.793722699,1.7937226995023992,28.335217207,28.33521720750191,7.101536884978008e-10,1.525585041,1.5255850409709044,-2.9095836850956402e-11,0.216193973,0.21619397286547712,-1.3452289282511742e-10,0.009802743,0.009802743420770409,4.2077040983412584e-10
14.35,1.794399728,1.7943997286355342,28.355205732,28.35520573193339,6.390157891017503e-10,1.527825681,1.527825680986532,-1.3467893467122849e-11,0.24670386,0.24670386029096886,2.9096886011714673e-10,0.011286522,0.011286522407252118,4.0725211744585543e-10
14.36,1.79499299,1.7949929901855946,28.375196918,28.375196918364143,4.0871154899302786e-10,1.530437439,1.5304374386552713,-3.447286900382096e-10,0.257046401,0.2570464010536676,5.3667625898867755e-11,0.011998027,0.011998026843740161,-1.562598384019509e-10
14.37,1.795533613,1.7955336132230388,28.395189599,28.39518959936736,4.297681351513685e-10,1.532993581,1.532993580968041,-3.1958879986859756e-11,0.270561617,0.27056161696144065,-3.8559322401710006e-11,0.012746268,0.012746268081328782,8.132878225042273e-11
14.38,1.795997411,1.7959974115610853,28.41518421,28.41518421002469,5.616282049462227e-10,1.535789931,1.5357899308184706,-1.815294581319904e-10,0.271037735,0.27103773523997704,2.399770382410793e-10,0.012987138,0.012987137686732734,-3.1326726629421486e-10
14.39,1.796413342,1.7964133423245408,28.435179874,28.435179874721243,7.908975633702337e-10,1.538454581,1.5384545808941725,-1.0582734688568962e-10,0.278810561,0.2788105611137177,1.1371770192170061e-10,0.013428618,0.01342861820778844,2.0778844096736027e-10
14.4,1.796755776,1.796755776496818,28.455176933,28.455176932874373,5.124554002706865e-10,1.541315094,1.5413150936412805,-3.58719276505326e-10,0.27593373,0.27593372998482335,-1.5176637724323427e-11,0.013465697,0.013465697194885813,1.948858123490549e-10
