interval_start_index,partition,time_s,speed_mps,steer_rad,input_steer_vel_radps,input_accel_x_mps2,measured_yaw_rate_radps,predicted_yaw_rate_radps,yaw_rate_residual_radps,measured_slip_angle_rad,predicted_slip_angle_rad,slip_angle_residual_rad
40,train,0.41,1.789321289,0.0,3.2,1.001777273,0.085351401,0.08535140114456355,1.4456355557079803e-10,0.005616158,0.00561615809217007,9.217007018724743e-11
41,train,0.42,1.799339061,0.032,-3.2,0.954142763,0.080895128,0.0808951285264188,5.264187974418633e-10,0.005421082,0.005421082183081622,1.8308162191144062e-10
42,train,0.43,1.808880489,0.0,3.2,0.908773275,0.086304311,0.08630431104076329,4.076329551683244e-11,0.005547577,0.005547576867668026,-1.323319735041517e-10
43,train,0.44,1.817968222,0.032,-3.2,0.865561106,0.081831182,0.0818311816973202,-3.0267979789222466e-10,0.005354898,0.005354898583101331,5.831013311086153e-10
44,train,0.45,1.826623833,0.0,3.2,0.824403675,0.087175574,0.08717557426573452,2.657345177237147e-10,0.005483928,0.005483927204132009,-7.95867991301713e-10
45,train,0.46,1.83486787,0.032,-3.2,0.78520328,0.082686116,0.08268611564103702,-3.58962984337019e-10,0.005293533,0.005293533237089312,2.37089312592198e-10
46,train,0.47,1.842719902,0.0,3.2,0.747866864,0.087971815,0.08797181514118226,1.4118226032699965e-10,0.005424962,0.005424962481162054,4.811620537767403e-10
47,train,0.48,1.850198571,0.032,-3.2,0.712305795,0.083466675,0.08346667509450202,9.450201732263963e-11,0.005236734,0.005236733230135663,-7.698643372106018e-10
48,train,0.49,1.857321629,0.0,3.2,0.678435654,0.088699157,0.08869915743499383,4.349938326209113e-10,0.005370428,0.0053704287358232045,7.358232044507584e-10
49,train,0.5,1.864105985,0.032,-3.2,0.646176039,0.084179066,0.0841790657632523,-2.367476908959887e-10,0.005184245,0.0051842450008824205,8.824208724833582e-13
50,train,0.51,1.870567746,0.0,3.2,0.615450368,0.089363263,0.08936326303288075,3.2880753675357255e-11,0.005320071,0.005320070641783799,-3.5821620062576054e-10
51,train,0.52,1.87672225,0.032,-3.2,0.586185703,0.084829,0.08482900010967931,1.0967930730299003e-10,0.005135813,0.005135813395032427,3.9503242690863694e-10
52,train,0.53,1.882584107,0.0,3.2,0.558312573,0.089969364,0.08996936416608234,1.6608234232329266e-10,0.005273637,0.005273636626186538,-3.738134619554745e-10
53,train,0.54,1.888167232,0.032,-3.2,0.53176481,0.085421736,0.08542173544914984,-5.508501571549473e-10,0.005091186,0.005091185898744036,-1.0125596455051733e-10
54,train,0.55,1.89348488,0.0,3.2,0.506479394,0.090522293,0.09052229335298959,3.5298958200868924e-10,0.005230878,0.005230877788099464,-2.1190053531294772e-10
55,train,0.56,1.898549674,0.032,-3.2,0.482396298,0.085962113,0.08596211289752895,-1.0247105941552093e-10,0.005050116,0.005050116739368135,7.393681344253222e-10
56,train,0.57,1.903373637,0.0,3.2,0.459458354,0.09102651,0.09102650955820295,-4.417970572712093e-10,0.005191551,0.005191550494459492,-5.05540507893254e-10
57,train,0.58,1.907968221,0.032,-3.2,0.43761111,0.086454586,0.08645458636667014,3.6667013869617904e-10,0.005012366,0.005012366402675755,4.026757547195836e-10
58,train,0.59,1.912344332,0.0,3.2,0.416802701,0.091486128,0.09148612800246705,2.467054338595176e-12,0.005155422,0.005155421901692074,-9.830792603582328e-11
59,train,0.6,1.916512359,0.032,-3.2,0.396983733,0.086903253,0.08690325287601963,-1.2398036763894282e-10,0.004977705,0.004977704833911535,-1.6608846502980112e-10
60,train,0.61,1.920482196,0.0,3.2,0.378107156,0.09190494,0.09190494022045842,2.2045841541196154e-10,0.005122266,0.005122266333958146,3.339581458594587e-10
61,train,0.62,1.924263268,0.032,3.2,0.360128161,0.17118747,0.1711874698016339,-1.9836610132273336e-10,0.008509749,0.008509749197793244,1.9779324358926154e-10
62,train,0.63,1.92786455,0.064,-3.2,0.343004067,0.209106262,0.20910626143871347,-5.612865172643922e-10,0.010412554,0.010412553818782101,-1.81217898326258e-10
63,train,0.64,1.93129459,0.032,3.2,0.326694224,0.238576145,0.23857614546546205,4.6546205778597027e-10,0.011916476,0.011916476362837176,3.6283717523566406e-10
