time_s,dt_to_next_s,input_steering_velocity_radps,input_accel_x_mps2,gym_x_m,gym_y_m,gym_steer_rad,gym_speed_mps,gym_theta_rad,gym_yaw_rate_radps,dynamic_x_m,dynamic_y_m,dynamic_steer_rad,dynamic_speed_mps,dynamic_theta_rad,dynamic_yaw_rate_radps,dynamic_slip_angle_rad,kinematic_yaw_rate_radps,error_x_m,error_y_m,error_position_m,error_yaw_rad,error_yaw_rate_radps,error_speed_mps
0.4,0.009999999999999953,3.200000000000015,9.51,0.921342561,0.72318323,0.128,3.792994388,1.296527016,0.615209599,0.9197925172913154,0.7192298700820356,0.12799999999999967,3.781988775619998,1.2971737846466063,0.6144967488388313,0.00686529721513152,1.4751237397329808,-0.001550043708684612,-0.003953359917964305,0.004246373763553967,0.0006467686466065103,-0.0007128501611687321,-0.01100561238000175
0.41,0.010000000000000009,3.199999999999997,9.51,0.931377028,0.760254545,0.16,3.888094388,1.303066527,0.699017194,0.9297705180830882,0.7562024410319881,0.15999999999999953,3.8770887756199977,1.3037061880947975,0.6983083417029134,0.006840168823363838,1.8936018212839225,-0.0016065099169118024,-0.004052103968011922,0.0043589471986609256,0.0006396610947976278,-0.0007088522970865041,-0.011005612380002194
0.42,0.010000000000000009,-3.199999999999997,9.51,0.941388709,0.79831618,0.192,3.983194388,1.310618189,0.816261506,0.9397254396334467,0.7941651949590891,0.19199999999999953,3.9721887756199976,1.3112507391211032,0.8155457509735659,0.0070650507588201055,2.3331225542346474,-0.001663269366553366,-0.004150985040910937,0.004471816386613074,0.0006325501211033036,-0.0007157550264341728,-0.011005612380002194
0.43,0.010000000000000009,3.199999999999997,9.51,0.95133012,0.83737831,0.16,4.078294388,1.319292575,0.904849676,0.9496098403025669,0.8331282575432943,0.15999999999999953,4.067288775619998,1.3199178897284751,0.9041195758039582,0.006259537427142198,1.9862341060144038,-0.001720279697433047,-0.004250052456705622,0.004585009064565721,0.000625314728475157,-0.0007301001960418052,-0.01100561238000175
0.44,0.010000000000000009,-3.199999999999997,9.51,0.961197263,0.877439384,0.192,4.173394388,1.3286564,0.974631031,0.9594197801949295,0.873090062774399,0.19199999999999953,4.162388775619998,1.3292744340891165,0.9739085564948938,0.004875250949786623,2.444530601793744,-0.0017774828050705072,-0.004349321225600944,0.004698514685066358,0.000618034089116648,-0.0007224745051062076,-0.01100561238000175
0.45,0.010000000000000009,3.199999999999997,9.51,0.970954574,0.918505456,0.16,4.268494388,1.338718153,1.02536124,0.9691197461691784,0.9140566268661195,0.15999999999999953,4.257488775619999,1.339329066248851,1.0246634940325408,0.002927404139910516,2.0788663907448846,-0.0018348278308215615,-0.00444882913388045,0.004812345979999862,0.000610913248850764,-0.0006977459674593067,-0.011005612380000862
0.46,0.009999999999999953,3.200000000000015,9.51,0.980596195,0.960575071,0.192,4.363594388,1.349129514,1.064749217,0.978703933435748,0.9560264818101867,0.19199999999999953,4.352588775619999,1.3497337032748504,1.0641060572451835,0.0007575580254811872,2.55593864935284,-0.0018922615642519292,-0.004548589189813268,0.004926491392992713,0.0006041892748505084,-0.0006431597548164358,-0.011005612380000862
0.47,0.010000000000000009,3.199999999999997,9.51,0.990070014,1.00365699,0.224,4.458694388,1.36015338,1.146333037,0.9881202723763429,0.9990083415723876,0.22399999999999937,4.447688775619999,1.360751452360482,1.1457525747326809,-0.0008254067291572451,3.0549993020726327,-0.0019497416236571308,-0.004648648427612478,0.005040974568728264,0.0005980723604821492,-0.0005804622673191151,-0.011005612380000862
0.48,0.010000000000000009,-3.199999999999997,9.51,0.999306526,1.04776245,0.256,4.553794388,1.37216846,1.261719947,0.9972992898251326,1.0430133839330469,0.25599999999999934,4.542788775619999,1.3727610034425881,1.2611923491252637,-0.002217723218111303,3.5768215194473933,-0.0020072361748674217,-0.004749066066953134,0.005155834129409334,0.0005925434425879672,-0.0005275978747363297,-0.011005612380000862
0.49,0.010000000000000009,3.199999999999997,9.51,1.008248285,1.092898482,0.224,4.648894388,1.385289741,1.348688933,1.0061835768236553,1.088048592414485,0.22399999999999934,4.63788877562,1.3858772254295122,1.3482054230534495,-0.004553989746202381,3.185320157616818,-0.002064708176344743,-0.0048498895855151325,0.005271095601974316,0.000587484429511953,-0.00048350994655055324,-0.011005612380000862
