time_s,measured_x_m,predicted_x_m,measured_y_m,predicted_y_m,position_error_m,measured_yaw_rad,predicted_yaw_rad,yaw_error_rad,measured_yaw_rate_radps,predicted_yaw_rate_radps,yaw_rate_error_radps,measured_slip_angle_rad,predicted_slip_angle_rad,slip_angle_error_rad
14.36,1.734892643,1.7348926426024882,28.237309543,28.237309543315206,5.073177969115895e-10,1.515777347,1.5157773475121932,5.121929547158288e-10,0.088408541,0.08840854126321727,2.6321728130440647e-10,0.004058161,0.004058161214284489,2.1428448859078797e-10
14.37,1.73590677,1.7359067694103554,28.257283812,28.257283812128136,6.034065507996178e-10,1.516605021,1.516605020857412,-1.425881634986581e-10,0.094225244,0.0942252437358867,-2.64113300674218e-10,0.004365077,0.004365076755622877,-2.443771235718928e-10
14.38,1.736886575,1.7368865746808915,28.277259793,28.277259793787053,8.492845279656379e-10,1.517613393,1.5176133935500582,5.500582211936944e-10,0.090196355,0.09019635481526037,-1.8473964025211842e-10,0.004309618,0.004309618350173444,3.501734440608528e-10
14.39,1.737859571,1.7378595706222542,28.297236108,28.297236108499085,6.259216963738846e-10,1.518455171,1.5184551708348923,-1.6510792733015478e-10,0.095320425,0.0953204247687802,-2.3121980718965318e-10,0.004548422,0.0045484223682546975,3.682546975691814e-10
14.4,1.738773799,1.738773799001301,28.317215182,28.317215182860775,8.607737695067113e-10,1.519764677,1.5197646771268314,1.2683143424396803e-10,0.176522026,0.17652202571937475,-2.8062524526362154e-10,0.00792159,0.007921590470375689,4.703756897872502e-10
14.41,1.739588711,1.7395887106058676,28.337198556,28.337198556863214,9.48935089328125e-10,1.521835198,1.5218351982560856,2.56085819216878e-10,0.216193973,0.21619397280249253,-1.9750748259106388e-10,0.009802743,0.009802743414707502,4.1470750271332957e-10
14.42,1.740340689,1.7403406886262363,28.357184402,28.357184402015516,3.7408555091986964e-10,1.524075838,1.5240758382711412,2.7114133160921483e-10,0.24670386,0.2467038602266353,2.2663529386512948e-10,0.011286522,0.011286522400553238,4.005532381473609e-10
14.43,1.74100891,1.741008909634555,28.377173223,28.377173223262904,4.5018747059247677e-10,1.526687596,1.5266875959392472,-6.075273617511812e-11,0.257046401,0.257046401005944,5.944023051540626e-12,0.011998027,0.011998026837035696,-1.629643035100381e-10
14.44,1.741624499,1.7416244981047417,28.397163736,28.397163736457927,1.0055767546742959e-09,1.529243738,1.529243738251619,2.516191699442061e-10,0.270561617,0.27056161691510405,-8.489592362437293e-11,0.012746268,0.012746268074317196,7.431719649397817e-11
14.45,1.74216327,1.7421632696515619,28.417156467,28.417156467373356,5.106886270737087e-10,1.532040088,1.5320400881015868,1.0158673902083137e-10,0.271037735,0.27103773520799235,2.07992345568897e-10,0.012987138,0.012987137679867377,-3.2013262353525196e-10
14.46,1.742654178,1.7426541779128006,28.437150431,28.43715043181606,8.207074557348608e-10,1.534704738,1.534704738177032,1.7703172261462896e-10,0.278810561,0.27881056107961455,7.961453718507983e-11,0.013428618,0.013428618200689994,2.006899941370266e-10
14.47,1.743071596,1.7430715953248381,28.457146065,28.457146065305555,7.410852157620828e-10,1.537565251,1.5375652509237847,-7.621547837288745e-11,0.27593373,0.2759337299617635,-3.823646954614901e-11,0.013465697,0.013465697187972856,1.8797285603056046e-10
14.48,1.743443511,1.7434435104245445,28.477142597,28.477142597565418,8.067505367452588e-10,1.540268124,1.540268124061738,6.17381701317754e-11,0.281740673,0.28174067281386694,-1.8613305341474984e-10,0.013769215,0.013769215120399317,1.2039931725216224e-10
14.49,1.743743628,1.7437436274674922,28.497140336,28.497140335972446,5.332202577792403e-10,1.543151615,1.5431516156876848,6.876845759506978e-10,0.277705139,0.2777051394136201,4.1362008262879613e-10,0.013711199,0.013711199048577746,4.857774599242859e-11
14.5,1.743999475,1.7439994741329465,28.51713869,28.517138690282593,9.119434905458942e-10,1.545868456,1.5458684563887264,3.887263844148947e-10,0.282824605,0.2828246053003399,3.003399196011003e-10,0.013948074,0.013948073775122066,-2.2487793398251466e-10
14.51,1.744184424,1.7441844238433533,28.537137825,28.53713782560089,6.209743307521966e-10,1.548760549,1.5487605494990797,4.990798885273762e-10,0.278377819,0.2783778190417376,4.173755785430444e-11,0.013842659,0.013842658535009976,-4.649900239156457e-10
14.52,1.744325771,1.7443257705751551,28.557137317,28.55713731706394,4.2962969215628885e-10,1.551482767,1.5514827672805227,2.805227161672974e-10,0.283248794,0.28324879373151957,-2.684804600860957e-10,0.014045387,0.014045387442641574,4.426415744357426e-10
