time_s,dt_to_next_s,input_accel_x_mps2,input_steer_rad,command_steer_rad,gym_x_m,gym_y_m,gym_theta_rad,gym_speed_mps,model_x_m,model_y_m,model_theta_rad,model_speed_mps,accel_y_mps2,error_x_m,error_y_m,error_position_m,error_yaw_rad,error_speed_mps
0.31,0.010000000000000009,9.51,0.032,0.046085329,0.835263038,0.432840169,1.267723384,2.937094388,0.8373405080138583,0.42875402473835367,1.2734512028230718,2.926088775619999,0.053109157,0.0020774700138582736,-0.0040861442616463295,0.00458393461836723,0.0057278188230718285,-0.011005612380000862
0.32,0.010000000000000009,9.51,0.064,0.128558396,0.844193715,0.461319155,1.268199564,3.032194388,0.8455378714971202,0.45733820526453073,1.2763335707361696,3.021188775619999,0.254951494,0.0013441564971202746,-0.0039809497354692525,0.00420175171625875,0.00813400673616993,-0.011005612380001306
0.33,0.010000000000000009,9.51,0.032,0.128228947,0.853322327,0.490732594,1.269340072,3.127294388,0.853374263119413,0.48700812188342363,1.2822862986808516,3.116288775619999,0.412866677,5.1936119413009685e-05,-0.003724472116576394,0.003724834212103235,0.012946226680851325,-0.011005612380001306
0.34,0.009999999999999953,9.51,0.064,0.127369292,0.862662942,0.521075897,1.270818153,3.222394388,0.8618241017092287,0.5174972514697325,1.2853530287234616,3.211388775619999,0.553857498,-0.0008388402907713033,-0.0035786455302675435,0.003675643734738876,0.014534875723461571,-0.011005612380001306
0.35,0.010000000000000009,9.51,0.096,0.126277227,0.872183732,0.552358589,1.272918898,3.317494388,0.8698558365095845,0.5490813596994686,1.2916747059133762,3.3064887756199983,0.844312129,-0.0023278954904154547,-0.0032772293005314257,0.004019866826470537,0.018755807913376277,-0.01100561238000175
0.36,0.010000000000000009,9.51,0.128,0.124770032,0.881835376,0.584595146,1.276015321,3.412594388,0.877315299133344,0.58178159027374,1.3014438628177984,3.4015887756199983,1.261126286,-0.004520076866655898,-0.002813555726259964,0.005324207988541397,0.02542854181779841,-0.01100561238000175
0.37,0.010000000000000009,9.51,0.096,0.122630984,0.891580577,0.617795873,1.280208509,3.507694388,0.8840295788071268,0.6156128840154078,1.314857820153584,3.4966887756199982,1.597400504,-0.007550998192873193,-0.002182988984592238,0.0078602172117331,0.03464931115358416,-0.01100561238000175
0.38,0.010000000000000009,9.51,0.128,0.201249614,0.901425404,0.651958027,1.285069761,3.602794388,0.8910992984687894,0.6503428531532842,1.3251809639876528,3.591788775619998,1.887094999,-0.010326105531210605,-0.0016151738467158339,0.010451662164307315,0.040111202987652916,-0.01100561238000175
0.39,0.010000000000000009,9.51,0.096,0.197478731,0.911344707,0.68708787,1.290620345,3.697894388,0.8973213080168175,0.6862001139986612,1.3393346232755023,3.686888775619998,2.123417005,-0.0140233989831825,-0.0008877560013388353,0.014051470732967319,0.048714278275502565,-0.01100561238000175
0.4,0.009999999999999953,9.51,0.128,0.193370694,0.921342561,0.72318323,1.296527016,3.792994388,0.9038623943078706,0.7229669976713538,1.3502117540392176,3.781988775619998,2.333486557,-0.017480166692129373,-0.00021623232864620423,0.01748150405441651,0.053684738039217805,-0.01100561238000175
0.41,0.010000000000000009,9.51,0.16,0.189226222,0.931377028,0.760254545,1.303066527,3.888094388,0.9094491683638187,0.7608523189335201,1.3651051152791318,3.8770887756199977,2.717844828,-0.02192785963618127,0.0005977739335201182,0.021936006060804775,0.06203858827913189,-0.011005612380002194
0.42,0.010000000000000009,9.51,0.192,0.184888332,0.941388709,0.79831618,1.310618189,3.983194388,0.9138564288956349,0.7998498586753684,1.3842191140450373,3.9721887756199976,3.25132825,-0.027532280104365148,0.0015336786753683551,0.02757496360876113,0.07360092504503735,-0.011005612380002194
0.43,0.010000000000000009,9.51,0.16,0.180164653,0.95133012,0.83737831,1.319292575,4.078294388,0.9168366551777977,0.839935686299609,1.407764395258992,4.067288775619998,3.690243356,-0.03449346482220228,0.00255737629960906,0.034588137980792036,0.08847182025899203,-0.01100561238000175
0.44,0.010000000000000009,9.51,0.192,0.250989163,0.961197263,0.877439384,1.3286564,4.173394388,0.9196905834978253,0.8809842944854698,1.4278047168722026,4.162388775619998,4.067519676,-0.04150667950217468,0.0035449104854697877,0.04165778238992376,0.09914831687220271,-0.01100561238000175
0.45,0.010000000000000009,9.51,0.16,0.244495887,0.970954574,0.918505456,1.338718153,4.268494388,0.920956161485756,0.9230635879764848,1.4524640785617482,4.257488775619999,4.376748699,-0.04999841251424397,0.004558131976484803,0.0502057548599716,0.1137459255617479,-0.011005612380000862
