run_id,step,time_s,wall_time_s,profile_status,command_speed_mps,command_steer_rad,x_m,y_m,theta_rad,speed_mps,vx_mps,vy_mps,steer_rad,steer_vel_radps,yaw_rate_radps,slip_angle_rad,accel_x_mps2,collision
enriched_bridge_bag_v2,60,0.590000,0.590168,rosbag_export,2.000000000,0.032214180,0.857398714,0.896759939,1.412155175,1.916512359,1.916486890,0.009880386,0.032000000,3.200000000,0.091486128,0.005155422,0.416802701,0
enriched_bridge_bag_v2,61,0.600000,0.600088,rosbag_export,2.000000000,0.032595694,0.860317658,0.915721553,1.413131775,1.920482196,1.920458404,0.009559554,0.000000000,-3.200000000,0.086903253,0.004977705,0.396983733,0
enriched_bridge_bag_v2,62,0.610000,0.609888,rosbag_export,2.000000000,0.032969862,0.863238977,0.934722013,1.413941150,1.924263268,1.924238024,0.009856546,0.032000000,3.200000000,0.091904940,0.005122266,0.378107156,0
enriched_bridge_bag_v2,63,0.620000,0.619646,rosbag_export,2.000000000,0.033695396,0.866111292,0.953767257,1.415208331,1.927864550,1.927794746,0.016405446,0.064000000,3.200000000,0.171187470,0.008509749,0.360128161,0
enriched_bridge_bag_v2,64,0.630000,0.629092,rosbag_export,2.000000000,0.034046378,0.868894369,0.972861276,1.417215261,1.931294590,1.931189894,0.020109346,0.032000000,-3.200000000,0.209106262,0.010412554,0.343004067,0
enriched_bridge_bag_v2,65,0.640000,0.640110,rosbag_export,2.000000000,0.034389250,0.871623220,0.991996949,1.419380551,1.934561532,1.934424178,0.023052611,0.064000000,3.200000000,0.238576145,0.011916476,0.326694224,0
enriched_bridge_bag_v2,66,0.650000,0.650062,rosbag_export,2.000000000,0.034389250,0.874277190,1.011175349,1.421906226,1.937673132,1.937518247,0.024499137,0.032000000,-3.200000000,0.248232756,0.012643923,0.311159913,0
enriched_bridge_bag_v2,67,0.660000,0.658465,rosbag_export,2.000000000,0.034723822,0.876886419,1.030390544,1.424374190,1.940636774,1.940462532,0.026004830,0.064000000,3.200000000,0.261580474,0.013400554,0.296364259,0
enriched_bridge_bag_v2,68,0.670000,0.669994,rosbag_export,2.000000000,0.035367310,0.879426986,1.049644121,1.427079403,1.943459496,1.943278616,0.026514716,0.032000000,-3.200000000,0.262009992,0.013643474,0.282272139,0
enriched_bridge_bag_v2,69,0.680000,0.680137,rosbag_export,2.000000000,0.035367310,0.881926970,1.068930797,1.429655837,1.946147997,1.945955092,0.027400781,0.064000000,3.200000000,0.270024788,0.014079960,0.268850099,0
enriched_bridge_bag_v2,70,0.690000,0.690100,rosbag_export,2.000000000,0.035675850,0.884360967,1.088252365,1.432428668,1.948708659,1.948514748,0.027490254,0.032000000,-3.200000000,0.267362343,0.014107376,0.256066277,0
